monster/boss/targetableentity name,id
Hawkes,8727
Brigand Leader,8728
Giant Sea Monster,8801
Ryan,8802
??????,8803
Random Monster Configuration,8888
Goblin Warrior,8901
Goblin Priest,8902
Blackstone Legion Marksman,8910
Blackstone Legion Guard,8911
Blackstone Legion Warrior,8912
Blackstone Legion Assaulter,8913
Blackstone Commander,8914
Blackstone Vanguard,8915
Frost Lizard,8916
Magma Lizard,8917
Lightning Lizard,8918
Eavesdropping Miner,8919
Vulture,8920
Snowy Owl,8921
Blackbird,8922
Black Hawk,8923
Void Goblin Cudgel,9001
Goblin Dagger,9002
Goblin Sword,9003
Goblin Mage,9004
Void Goblin Mage,9005
Goblin Crossbow,9006
Goblin Axe,9007
Void - Goblin Axe,9008
Goblin Dagger,9009
Goblin Dagger,9010
Goblin Dagger,9011
Monster Drop Function Test Data,9999
Goblin Cudgel,10000
Goblin Dagger,10001
Staff Forest Goblin,10002
Storm Goblin Elder,10003
Blazing Goblin Elder,10004
Goblin Crossbow,10005
Goblin Sword,10006
Storm Goblin King,10007
Jungle Goblin Warrior,10008
Frost Ogre,10009
Tempest Ogre,10010
Caprahorn,10011
Inferno Goblin Mage,10012
Storm Goblin Mage,10013
Arachnocrab,10014
Beehive,10015
Bzzar,10016
Eagle,10017
Inferno Ogre,10018
Goblin Warrior,10019
Goblin Mage,10020
Muku Cudgel,10021
Muku Hammerer,10022
Muku Axemaster,10023
Muku Cleaver,10024
Brutal Boarrier,10025
Boarlet,10026
Brigand Axeman,10027
Brigand Archer,10028
Muku King,10029
Boarrier Tyrant,10030
Boarrier Tyrant,10031
Golden Juggernaut,10032
Void Arachnocrab,10033
Void Arachnocrab,10034
Goblin Guard,10035
Goblin Axe,10036
Brigand Scout,10037
Brigand Scout Leader,10038
Brigand Thug,10039
Brigand Guard,10040
Boss - Crimson Foxen,10041
Mighty Colossus,10042
Elite: Mutant Yeti,10043
Blackfire Foxen,10044
Foxen,10045
Wasteland Foxen,10046
Scorching Yeti,10047
Mutant Yeti,10048
Crazy Muku Crossbowman,10049
Scout Muku,10050
Red Foam Goblin,10051
Muku Scout,10052
Gold Foam Goblin,10053
Elite: Brigand Archer,10054
Brigand Guard Captain,10055
Brigand Leader,10056
Muku Warrior,10057
Muku Vanguard,10058
Muku Chief,10059
Shadow Scout,10060
Shadow Warden,10061
Shadow Gunner,10062
Shadow Blade,10063
Shadow Captain,10064
Shadow Commander,10065
Storm Goblin Warrior,10066
Phantom Arachnocrab,10069
Brigand Leader - Battle Axe,10070
Venomous Arachnocrab,10071
Blazing Goblin Cudgel,10072
Blazing Goblin Cutlass,10073
