monster/boss/targetableentity name,id
Cabbage Killer,71028
Cabbage Hunter,71029
Cabbage Tough Guy,71030
Cabbage Blaster,71031
Foxen,71032
Wasteland Foxen,71033
Nether Caprahorn,71034
Glimmer Caprahorn,71035
Boss: Golden Juggernaut,71036
Boss: Phantom Arachnocrab,71037
Boss: Inferno Ogre,71038
Boss: Muku Chief,71039
Boss: Muku King,71040
Boss: Goblin King,71041
Boss: Predator Arachnocrab,72001
Boss: Rebel King,72002
Boss: Ridge Fang,72003
Boss: Bloodthirsty Furball,72004
Boss: Void Watcher,72005
Boss: Golden Juggernaut,72006
Boss: Phantom Arachnocrab,72007
Boss: Inferno Ogre,72008
Boss: Cabbage Kingpin,72009
Boss: Flamehorn,72010
Boss: Basilisk,72011
Boss: Muku Chief,72012
Boss: Muku King,72013
Boss: Goblin King,72014
Elite: Killer Arachnocrab,72015
Elite: Dogorman,72016
Elite: Verdant Fang,72017
Elite: Man-Eating Furball,72018
Elite: Sanctuary Eye,72019
Elite: Bluespine Lizard,72020
Elite: Blackstone Commander,72021
Elite: Blackstone Vanguard,72022
Elite: Goblin Trickster,72023
Elite: Goblin Shaman,72024
Elite: Blackfire Foxen,72025
Elite: Gloomy Cabbage,72026
Elite: Ruthless Cabbage,72027
Elite: Emerald Caprahorn,72028
Infernal Arachnocrab,72029
Wasteland Arachnocrab,72030
Sandstone Yeti,72031
Ashen Yeti,72032
Wild Mountain Boar,72033
Hunter Mountain Boar,72034
Gnashing Furball,72035
Spiky Furball,72036
Patrolling Oculoid,72037
Mechcore Oculoid,72038
Frost Lizard,72039
Magma Lizard,72040
Gale Lizard,72041
Lightning Lizard,72042
Blackstone Legion Marksman,72043
Blackstone Legion Guard,72044
Blackstone Legion Warrior,72045
Blackstone Legion Assaulter,72046
Goblin Warrior,72047
Goblin Axeman,72048
Goblin Priest,72049
Goblin Guard,72050
Cabbage Killer,72051
Cabbage Hunter,72052
Cabbage Tough Guy,72053
Cabbage Blaster,72054
Foxen,72055
Wasteland Foxen,72056
Nether Caprahorn,72057
Glimmer Caprahorn,72058
Boss: Predator Arachnocrab,73001
Boss: Valley Vanguard,73002
Boss: Ridge Fang,73003
Boss: Bloodthirsty Furball,73004
Boss: Dream Manifestor,73005
Boss: Golden Juggernaut,73006
Boss: Shell-Gathering Cultist,73007
Boss: Wandering Traveler,73008
Boss: Cabbage Kingpin,73009
Boss: Flamehorn,73010
Boss: Stream Aberration,73011
Boss: Muku Chief,73012
Boss: Muku King,73013
Boss: Goblin King,73014
Elite: Killer Arachnocrab,73015
Elite: Dogorman,73016
Elite: Verdant Fang,73017
Elite: Man-Eating Furball,73018
Elite: Sanctuary Eye,73019
Elite: Bluespine Lizard,73020
Elite: Blackstone Commander,73021
Elite: Blackstone Vanguard,73022
Elite: Goblin Trickster,73023
Elite: Goblin Shaman,73024
Elite: Blackfire Foxen,73025
Elite: Gloomy Cabbage,73026
Elite: Ruthless Cabbage,73027
Elite: Emerald Caprahorn,73028
Infernal Arachnocrab,73029
Wasteland Arachnocrab,73030
Sandstone Yeti,73031
Ashen Yeti,73032
Wild Mountain Boar,73033
Hunter Mountain Boar,73034
Gnashing Furball,73035
Spiky Furball,73036
Patrolling Oculoid,73037
Mechcore Oculoid,73038
Frost Lizard,73039
Magma Lizard,73040
Gale Lizard,73041
Lightning Lizard,73042
Blackstone Legion Marksman,73043
Blackstone Legion Guard,73044
Blackstone Legion Warrior,73045
Blackstone Legion Assaulter,73046
Goblin Warrior,73047
Goblin Axeman,73048
Goblin Priest,73049
Goblin Guard,73050
Cabbage Killer,73051
Cabbage Hunter,73052
Cabbage Tough Guy,73053
Cabbage Blaster,73054
Foxen,73055
Wasteland Foxen,73056
Nether Caprahorn,73057
Glimmer Caprahorn,73058
Elite: Paralyzing Shrimpshroom,73059
Elite: Valley Brawler,73060
Elite: Goblin Sage,73061
Elite: Valley Ranger,73062
Elite: Darkriver Fin,73063
Shrimp Mushroom,73064
Venomous Shrimpshroom,73065
Valley Warrior,73066
Valley Vanguard,73067
Green Foam Goblin,73068
Purplefoam Goblin,73069
Valley Scout,73070
Valley Crossbowman,73071
Deep Valley Murloc,73072
Riverside Murloc,73073
Storm Goblin King,80001
Frost Ogre,80002
Tempest Ogre,80003
Inferno Ogre,80004
Muku King,80005
Golden Juggernaut,80006
Muku Chief,80007
Phantom Arachnocrab,80008
Venobzzar Incubator,80009
Iron Fang,80010
Goblin Chief,80011
Crimson Foxen,80012
Flamehorn,80013
Basilisk,80014
Boss: Predator Arachnocrab,80015
Boss: Rebel King,80016
Boss: Ridge Fang,80017
Boss: Bloodthirsty Furball,80018
Boss: Void Watcher,80019
Boss: Dream Manifestor,80020
Boss: Valley Vanguard,80021
Boss: Shell-Gathering Cultist,80022
Boss: Wandering Traveler,80023
Boss: Stream Aberration,80024
Muku King,81000
Charging Boarrier (Summon),81001
Charging Boarrier (Transform),81002
The Light Devourer,81003
Void Ambusher,81004
Illuminator,81005
Opening Illuminator,81006
Void - Goblin Cudgel,81007
Void - Goblin Dagger,81008
Void - Goblin Crossbow,81009
Void - Goblin Sword,81010
Void - Goblin Axe,81011
Void - Goblin Mage,81012
Void - Goblin Mage,81013
Void Ambusher,81014
Void Corruption: Goblin,81020
Illuminator,81021
Void Corruption: Goblin,81022
Void Corruption: Goblin Crossbow,81023
Void Corruption: Goblin Swords,81024
Void Goblin Lich,81025
Void Corruption: Goblin Wizard,81026
Huge Goblin Swords,81027
Crystal of Light,81028
Light Eater Lich,81029
Phantom Goblin,81030
Rift,81031
Void Corruption: Dimensional Apostle,81032
Dark Crystal,81033
Void Ambusher,81034
Rift-Hidden Yeti,81035
Rift-Hidden Eagle,81036
Rift-Hidden Lizard,81037
Ee-chan,81100
Boarlet (Transformed),81101
Ee-chan (Random Collision),81102
Ee-chan (Formation Collision),81103
Ee-chan,81104
Ee-chan (Line Connection),81105
Ground Bubble,81106
Pac-Man,81107
Bean,81108
Masked Nappo,81109
Living Hoard,90001
Manned Mech - Ranged,101101
Manned Mech - Melee,101102
Byrnhald Shield Bearer,101103
Byrnhald Rifleman,101104
Byrnhald Swordsman,101105
Byrnhald Spearman,101106
Kanamia Undead Warrior,101107
Kanamia Undead Hunter,101108
Kanamia Undead Archer,101109
Mysterious Doppelganger,101110
Tina,101111
Kanamia Undead Warrior,101112
Kanamia Undead Hunter,101113
Kanamia Undead Archer,101114
Kanamia Villager's Vengeful Spirit,101115
Kanamia Villager's Vengeful Spirit,101116
Kanamia Undead Warrior,101117
Kanamia Undead Hunter,101118
Kanamia Undead Archer,101119
Manned Mech - Ranged,101120
Manned Mech - Melee,101121
Byrnhald Shield Bearer,101122
Byrnhald Rifleman,101123
Byrnhald Swordsman,101124
Byrnhald Spearman,101125
Byrnhald Shield Bearer,101126
Byrnhald Rifleman,101127
Byrnhald Swordsman,101128
Byrnhald Spearman,101129
Kanamia Undead Archer,101130
Byrnhald Machine,101150
Asterleeds Trooper,101151
Kanamia Undead Warrior,101212
Kanamia Undead Hunter,101213
Kanamia Undead Archer,101214
Kanamia Male Villager's Spirit,101215
