monster/boss/targetableentity name,id
Cabbage Mission Captain,643802
Friedrich,643810
Dietrich,643811
Gaufred,644301
Adventurer,644601
Adventurer,644602
Adventurer,644603
Adventurer,644604
Adventurer,644605
Adventurer,644606
Blackstone Legion Soldier,644701
Blackstone Legion Soldier,644702
Frost Lizard,644901
Magma Lizard,644902
Gale Lizard,644903
Lightning Lizard,644904
Bluespine Lizard,644905
Blackstone Legion Soldier,645001
Blackstone Legion Soldier,645002
Frost Lizard,645003
Magma Lizard,645004
Gale Lizard,645005
Lightning Lizard,645006
Bluespine Lizard,645007
Blackstone Legion Soldier,645008
Blackstone Legion Soldier,645009
Konrad,645010
Crimson Foxen,655001
Creed Guard,660301
Creed Guard Captain,660302
Darya,660303
Airona,660304
Sleht,660305
Triban,660306
Lerahha,660307
Asterleeds Trooper,660308
Green Foam Goblin,660309
Thunder Foam Goblin,660310
Goblin Sage,660311
Illusory Bloom,660312
Illusory Plague Goblin,660401
Mad Illusory Plague Goblin,660402
Elite Illusory Plague Goblin,660403
Estevao,661101
Demarion,661201
Timothy,661301
Masked Man,661401
Flamehorn,661501
Jacob,661502
Lynn,661503
Locke,661504
Davi,661601
Hagen,661701
Sigurd,661702
Konrad,661703
Recollection: Joshua,663001
Boyce,663002
Rotaru,663201
Boyce,663202
Boyce,663203
Gareth,663204
Boyce,663401
Wooden Dummy,663402
Boyce,663403
Gareth,663404
Gareth,663405
Boyce,663406
Recollection: Klaus,663407
Afterimage,663408
Boyce Epilogue - Armed Boyce (Mirrorlight Spear),663409
Recollection: Joshua,663410
Recollection: Rotaru,663411
Recollection: Klaus,663412
Anti-Illusion: Boyce,663413
Recollection: Joshua,663414
Recollection: Rotaru,663415
Recollection: Klaus,663416
Muku Crossbowman,663601
Muku Crossbowman,663701
Muku Crossbowman,663801
Valley Brawler,663802
Muku Crossbowman,663901
Valley Vanguard,663902
Red Goblin?,664001
Brigand,664101
Muku Crossbowman,665201
Unknown Individual,665202
Muku Crossbowman,665203
Virginia,665204
Deep Valley Murloc,665301
Riverside Murloc,665302
Darkriver Fin,665303
Stream Aberration,665304
Void Corruption Soulshard,700001
Void Corruption Afterimage,700002
Void Phantom,700003
[Abandoned] Dissipative Energy,700004
Void Corruption Afterimage,700005
Void Phantom,700006
[Abandoned] Dissipative Energy,700007
Dispersed Energy,700008
Dispersed Energy,700009
Bane Lord,700010
Mischievous Nappo,700051
Dreamflood Manifestation: Rage,700052
Dreamflood Manifestation: Rupture,700053
Dreamflood Manifestation: Titan,700054
Dreamflood Manifestation: Hunt,700055
Dreamflood Manifestation: Salvation,700056
Wandering Nappo,700061
Wandering Nappo,700062
Wandering Nappo,700063
Wandering Nappo,700064
Wandering Nappo,700065
Wandering Nappo,700066
Wandering Nappo,700067
Wandering Nappo,700068
Acoustic No.1,700071
Acoustic No.2,700072
Acoustic No.3,700073
Acoustic No.4,700074
Acoustic No.5,700075
Acoustic No.6,700076
Acoustic No.7,700077
Acoustic No.8,700078
Acoustic No.9,700079
Acoustic No.10,700080
Acoustic No.11,700081
Acoustic No.12,700082
Mysterious Nappo,700090
Squeaky Boarlet,700101
Light-Trace Spirit,700111
Bane Lord,760001
Goblin Cudgel,920001
Muku Cudgel,920002
Crazy Muku Crossbowman,920003
Shadow Gunner,920004
Elite: Shadow Commander,920005
Elite: Muku Vanguard,920006
Elite: Storm Goblin Warrior,920007
Elite: Muku Scout,920008
Elite: Red Foam Goblin,920009
Elite: Gold Foam Goblin,920010
Boss - Muku Chief,920011
Boss - Tempest Ogre,920012
Boss - Muku King,920013
Drone Gunner,920021
Drone Gunner,920022
Drone Gunner,920023
Drone Gunner,920024
Drone Gunner,920025
Princess Arachnocrab,920101
Arachnocrab,920102
Deadly Bzzar,920103
Nitro Bzzar,920104
Caprahorn,920105
Brutal Boarrier,920106
Elite: Void Bzzar,920107
Elite: Boarrier Storm,920108
Elite: Land Eagle,920109
Elite: Nightbeast,920110
Elite: Nether Caprahorn,920111
Dominator: Nightbeast,920112
Dominator: Golden Rampager,920113
Dominator: Emerald Ram,920114
Caprahorn,920115
Foxen,920116
Kanamia Archer,920121
Kanamia Archer,920122
Kanamia Archer,920123
Kanamia Archer,920124
Kanamia Archer,920125
Bane Lord,920130
Boss: Void Bzzar,920131
Boss: Boarrier Storm,920132
Boss: Land Eagle,920133
Boss: Nightbeast,920134
Boss: Nether Caprahorn,920135
Slumbering Scholar,920201
Slumbering Scholar,920202
Slumbering Scholar,920203
Slumbering Scholar,920204
Slumbering Scholar,920205
Boss: Flamehorn,920206
Boss: Goblin Trickster,920207
Boss: Dogorman,920208
Boss: Muku Chief,920209
Boss: Blackstone Captain,920210
Mutant Yeti,920211
Glimmer Caprahorn,920212
Muku Hammerer,920213
Blackstone Legion Marksman,920214
Goblin Mage,920215
Scorching Yeti,920220
Nether Caprahorn,920221
Muku Cudgel,920222
Blackstone Legion Guard,920223
Goblin Cudgel,920224
Mist Summoner,920225
Nether Caprahorn,920226
Goblin Cudgel,920227
Scorching Yeti,920228
Muku Cudgel,920229
Berserk Slumberdreamer,920230
Berserk Slumberdreamer,920231
Berserk Slumberdreamer,920232
Mysterious Researcher,920233
Slumberdreamer,920234
Nappo,920235
Arachnocrab,920236
Slumberdream Arachnocrab,920237
Man in Black,920238
Henry,920239
Cloaked Blue Orb,920241
Revealed Blue Orb,920242
Blue Orb Node,920243
Slumbering Scholar,920251
Slumbering Scholar,920252
Slumbering Scholar,920253
Slumbering Scholar,920254
Slumbering Scholar,920255
Slumbering Scholar,920256
Slumbering Scholar,920257
Slumbering Scholar,920258
Slumbering Scholar,920259
Slumbering Scholar,920260
Slumbering Scholar,920500
Illusion-Shroud Adjudicator - Final Form,920501
Illusion-Shroud Adjudicator - Final Form,920502
Illusion-Shroud Adjudicator - Final Form,920503
Illusion-Shroud Adjudicator - Final Form,920504
Illusion-Shroud Adjudicator - Final Form,920505
Boss: Rebel King,920506
Boss: Bloodthirsty Furball,920507
Boss: Void Watcher,920508
Boss: Predator Arachnocrab,920509
Boss: Ridge Fang,920510
Dogorman,920511
Man-Eating Furball,920512
Sanctuary Eye,920513
Killer Arachnocrab,920514
Verdant Fang,920515
Sandstone Yeti,920520
Ashen Yeti,920521
Gnashing Furball,920522
Spiky Furball,920523
Patrolling Oculoid,920524
Mechcore Oculoid,920525
Infernal Arachnocrab,920526
Wasteland Arachnocrab,920527
Wild Mountain Boar,920528
Hunter Mountain Boar,920529
Researcher Jim,920530
Researcher Giddy,920531
Researcher Jimmy,920532
Lost - Roamer,920533
Researcher Jim,920534
Researcher Giddy,920535
Lost - Researcher,920536
Illusion-Shroud Colossus,920550
Goblin Mage,920551
Henry,920552
Henry,920553
Illusory Bloom,920554
Illusion-Shroud Adjudicator - Final Form,920561
Illusion-Shroud Adjudicator - Final Form,920562
